"num","state","startdate","enddate","pollster","grade","spread","lower","upper","actual_spread","error","hit"
"22","Ohio",2016-11-01,2016-11-02,"Remington",NA,-0.01,-0.048757969015753,0.028757969015753,-0.082,0.072,TRUE
"23","Georgia",2016-11-03,2016-11-05,"YouGov","B",-0.06,-0.122023091573877,0.002023091573877,-0.051,-0.00899999999999995,TRUE
"24","Missouri",2016-10-31,2016-11-01,"Public Policy Polling","B+",-0.13,-0.189051741609333,-0.0709482583906667,-0.187,0.0569999999999999,TRUE
"25","New Hampshire",2016-11-04,2016-11-05,"Emerson College","B",0.016,-0.0459715693462415,0.0779715693462416,0.00299999999999995,0.0130000000000001,TRUE
"26","Arizona",2016-11-03,2016-11-06,"Gravis Marketing","B-",-0.02,-0.0714077276746428,0.0314077276746427,-0.036,0.016,TRUE
"27","Florida",2016-11-01,2016-11-02,"Remington",NA,-0.03,-0.0703955859239712,0.0103955859239713,-0.012,-0.018,TRUE
"28","Pennsylvania",2016-10-31,2016-11-01,"Public Policy Polling","B+",0.04,-0.0204373937115805,0.10043739371158,-0.00700000000000001,0.047,FALSE
"29","Pennsylvania",2016-11-03,2016-11-05,"YouGov","B",0.02,-0.0442223767947459,0.084222376794746,-0.00700000000000001,0.027,FALSE
"30","Nevada",2016-11-03,2016-11-06,"Gravis Marketing","B-",0.02,-0.0375846769849348,0.0775846769849348,0.024,-0.00399999999999995,TRUE
"31","Colorado",2016-11-03,2016-11-06,"Gravis Marketing","B-",0.01,-0.0427960907177232,0.0627960907177232,0.049,-0.039,TRUE
"32","Florida",2016-11-02,2016-11-04,"YouGov","B",0,-0.0568643226977204,0.0568643226977204,-0.012,0.012,FALSE
"33","Wisconsin",2016-11-01,2016-11-02,"Clarity Campaign Labs","B",0.04,-0.0182845444282078,0.0982845444282078,-0.00700000000000001,0.047,FALSE
"34","Ohio",2016-11-04,2016-11-05,"Emerson College","B",-0.067,-0.132185329911023,-0.00181467008897693,-0.082,0.015,TRUE
"35","New Hampshire",2016-11-03,2016-11-06,"University of New Hampshire","B+",0.11,0.0359454859349156,0.184054514065084,0.00299999999999995,0.107,TRUE
"36","Pennsylvania",2016-11-01,2016-11-04,"Clarity Campaign Labs","B",0.04,-0.0209326710662926,0.100932671066293,-0.00700000000000001,0.047,FALSE
"37","California",2016-10-25,2016-10-31,"YouGov","B",0.2,0.150383308588072,0.249616691411928,0.301,-0.101,TRUE
"38","Colorado",2016-11-01,2016-11-02,"Remington",NA,0.01,-0.0354067008068191,0.0554067008068191,0.049,-0.039,TRUE
"39","New York",2016-11-03,2016-11-04,"Siena College","A",0.17,0.0922433599350425,0.247756640064957,0.225,-0.055,TRUE
"40","Nevada",2016-11-01,2016-11-02,"Remington",NA,-0.01,-0.0562845696903165,0.0362845696903165,0.024,-0.034,FALSE
"41","Pennsylvania",2016-11-03,2016-11-06,"Gravis Marketing","B-",0.06,0.00398748991505482,0.116012510084945,-0.00700000000000001,0.067,FALSE
"42","Arizona",2016-10-30,2016-11-01,"Marist College","A",-0.05,-0.12300289755183,0.02300289755183,-0.036,-0.014,TRUE
"43","Missouri",2016-11-01,2016-11-02,"Clarity Campaign Labs","B",-0.16,-0.220108632954675,-0.0998913670453247,-0.187,0.0269999999999999,TRUE
"44","Wisconsin",2016-11-03,2016-11-06,"Gravis Marketing","B-",0.03,-0.0269346584032626,0.0869346584032625,-0.00700000000000001,0.037,FALSE
"45","Washington",2016-10-31,2016-11-02,"SurveyUSA","A",0.12,0.0454367408912247,0.194563259108775,0.162,-0.0419999999999999,TRUE
"46","Virginia",2016-11-01,2016-11-04,"Gravis Marketing","B-",0.05,-0.00304152346220065,0.103041523462201,0.054,-0.004,TRUE
"47","Wisconsin",2016-10-31,2016-11-01,"Public Policy Polling","B+",0.07,0.00449980361341698,0.135500196386583,-0.00700000000000001,0.077,FALSE
"48","Georgia",2016-10-30,2016-11-01,"Marist College","A",-0.01,-0.0837083464210434,0.0637083464210434,-0.051,0.041,TRUE
"49","California",2016-10-28,2016-10-31,"SurveyUSA","A",0.21,0.139887731198112,0.280112268801888,0.301,-0.0909999999999999,TRUE
"50","Florida",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.02,-0.010633273064794,0.0506332730647939,-0.012,0.032,FALSE
"51","Texas",2016-10-30,2016-11-01,"Marist College","A",-0.09,-0.164911268122184,-0.0150887318778157,-0.09,0,TRUE
"52","Missouri",2016-10-31,2016-11-01,"Remington",NA,-0.13,-0.17683066938471,-0.0831693306152905,-0.187,0.0569999999999999,TRUE
"53","Arizona",2016-10-29,2016-10-31,"Saguaro Strategies",NA,0.01,-0.0315117785574224,0.0515117785574224,-0.036,0.046,FALSE
"54","Utah",2016-11-03,2016-11-05,"YouGov","B",-0.17,-0.239968503044879,-0.100031496955121,-0.18,0.00999999999999998,TRUE
"55","Colorado",2016-11-03,2016-11-04,"Public Policy Polling","B+",0.05,-0.0237765281029397,0.12377652810294,0.049,0.000999999999999945,TRUE
"56","Virginia",2016-11-02,2016-11-06,"Hampton University","B",0.04,-0.0291533451494781,0.109153345149478,0.054,-0.014,TRUE
"57","Utah",2016-10-31,2016-11-02,"Emerson College","B",-0.202,-0.26270182810241,-0.14129817189759,-0.18,-0.022,TRUE
"58","North Carolina",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.07,0.0350306977118721,0.104969302288128,-0.036,0.106,FALSE
"59","Texas",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.03,-0.0657142452527919,0.00571424525279189,-0.09,0.0599999999999999,TRUE
"60","Michigan",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.02,-0.0149422518695134,0.0549422518695134,-0.002,0.022,FALSE
"61","North Carolina",2016-11-01,2016-11-04,"Gravis Marketing","B-",0.01,-0.0454333810970397,0.0654333810970398,-0.036,0.046,FALSE
"62","Missouri",2016-11-04,2016-11-05,"Emerson College","B",-0.06,-0.131438827621396,0.0114388276213958,-0.187,0.127,TRUE
"63","Ohio",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.03,-0.0666327526831561,0.00663275268315606,-0.082,0.052,TRUE
"64","Pennsylvania",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.03,-0.00672919713092601,0.0667291971309261,-0.00700000000000001,0.037,FALSE
"65","Pennsylvania",2016-10-27,2016-11-01,"CNN/Opinion Research Corp.","A-",0.04,-0.0292830483177994,0.109283048317799,-0.00700000000000001,0.047,FALSE
"66","Colorado",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.03,-0.0071761687334515,0.0671761687334514,0.049,-0.0190000000000001,TRUE
"67","New Mexico",2016-11-01,2016-11-02,"Gravis Marketing","B-",0.08,0.0263686880462056,0.133631311953794,0.083,-0.00299999999999995,TRUE
"68","California",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.25,0.213559117436913,0.286440882563087,0.301,-0.0509999999999999,TRUE
"69","Nevada",2016-10-27,2016-11-01,"CNN/Opinion Research Corp.","A-",-0.06,-0.129606757719181,0.00960675771918083,0.024,-0.084,FALSE
"70","Arizona",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.03,-0.00835442982724089,0.0683544298272409,-0.036,0.0660000000000001,FALSE
"71","Georgia",2016-11-06,2016-11-06,"Trafalgar Group","C",-0.0647,-0.120020000927978,-0.00937999907202171,-0.051,-0.0137,TRUE
"72","Arizona",2016-10-27,2016-11-01,"CNN/Opinion Research Corp.","A-",-0.05,-0.120589706032214,0.0205897060322142,-0.036,-0.014,TRUE
"73","New Hampshire",2016-10-31,2016-11-01,"Public Policy Polling","B+",0.05,-0.0200453042862337,0.120045304286234,0.00299999999999995,0.047,TRUE
"74","Georgia",2016-11-01,2016-11-07,"SurveyMonkey","C-",0,-0.0398501680191055,0.0398501680191055,-0.051,0.051,FALSE
"75","Michigan",2016-11-06,2016-11-06,"Trafalgar Group","C",-0.017,-0.0735711104060997,0.0395711104060997,-0.002,-0.015,TRUE
"76","Florida",2016-10-27,2016-11-01,"CNN/Opinion Research Corp.","A-",0.02,-0.0504809043268418,0.0904809043268418,-0.012,0.032,FALSE
"77","Utah",2016-10-30,2016-10-31,"Gravis Marketing","B-",-0.06,-0.111845367324568,-0.00815463267543184,-0.18,0.12,TRUE
"78","Wisconsin",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.02,-0.0213481743423475,0.0613481743423476,-0.00700000000000001,0.027,FALSE
"79","Virginia",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.08,0.0381854897423089,0.121814510257691,0.054,0.026,TRUE
"80","Florida",2016-11-01,2016-11-02,"Gravis Marketing","B-",0.01,-0.0461107998927127,0.0661107998927127,-0.012,0.022,FALSE
"81","New York",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.25,0.209613688126103,0.290386311873897,0.225,0.025,TRUE
"82","North Carolina",2016-10-28,2016-10-31,"SurveyUSA","A",-0.07,-0.146162071344543,0.00616207134454283,-0.036,-0.034,TRUE
"83","Michigan",2016-11-01,2016-11-04,"Gravis Marketing","B-",0.05,-0.00959280403314085,0.109592804033141,-0.002,0.052,FALSE
"84","Florida",2016-11-06,2016-11-06,"Trafalgar Group","C",-0.0358999999999999,-0.0949570441503299,0.02315704415033,-0.012,-0.0238999999999999,TRUE
"85","Utah",2016-11-03,2016-11-05,"Trafalgar Group","C",-0.1043,-0.157352521490869,-0.0512474785091311,-0.18,0.0757,TRUE
"86","Illinois",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.17,0.12476373560468,0.21523626439532,0.17,5.55111512312578e-17,TRUE
"87","Iowa",2016-11-01,2016-11-02,"RABA Research","C+",-0.03,-0.0897236628096521,0.0297236628096521,-0.094,0.0639999999999999,TRUE
"88","Pennsylvania",2016-11-03,2016-11-05,"Trafalgar Group","C",-0.0192000000000001,-0.0735495998521429,0.0351495998521428,-0.00700000000000001,-0.0122,TRUE
"89","Iowa",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.09,-0.13625408311185,-0.0437459168881495,-0.094,0.004,TRUE
"90","Indiana",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.17,-0.216844176364624,-0.123155823635376,-0.191,0.021,TRUE
"91","South Carolina",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.04,-0.0875260296083146,0.00752602960831462,-0.142,0.102,TRUE
"92","Nevada",2016-10-31,2016-11-01,"Public Policy Polling","B+",0.03,-0.0446892935004617,0.104689293500462,0.024,0.00600000000000001,TRUE
"93","Michigan",2016-11-01,2016-11-03,"EPIC-MRA","A-",0.04,-0.0399511568248704,0.11995115682487,-0.002,0.042,FALSE
"94","Oregon",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.15,0.101479403609143,0.198520596390857,0.11,0.04,TRUE
"95","Nevada",2016-11-04,2016-11-05,"Emerson College","B",0.012,-0.0680094333044959,0.0920094333044958,0.024,-0.012,TRUE
"96","Utah",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.03,-0.0809411193318317,0.0209411193318317,-0.18,0.15,TRUE
"97","New Hampshire",2016-11-01,2016-11-02,"Gravis Marketing","B-",-0.02,-0.081936145755244,0.041936145755244,0.00299999999999995,-0.023,FALSE
"98","Ohio",2016-10-27,2016-11-05,"Columbus Dispatch","C+",0.01,-0.0477681837493868,0.0677681837493868,-0.082,0.092,FALSE
"99","Tennessee",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.08,-0.131609634955756,-0.0283903650442444,-0.26,0.18,TRUE
"100","Washington",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.18,0.1293869726708,0.2306130273292,0.162,0.0180000000000001,TRUE
"101","Iowa",2016-11-01,2016-11-03,"Emerson College","B",-0.03,-0.104046332095476,0.0440463320954763,-0.094,0.0639999999999999,TRUE
"102","Connecticut",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.16,0.108050843759585,0.211949156240415,0.137,0.023,TRUE
"103","Massachusetts",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.26,0.209017090683335,0.310982909316665,0.272,-0.012,TRUE
"104","New Jersey",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.15,0.0977796829910289,0.202220317008971,0.141,0.00899999999999995,TRUE
"105","Colorado",2016-11-02,2016-11-03,"Keating Research, Inc.","B",0.05,-0.0295842001600279,0.129584200160028,0.049,0.000999999999999945,TRUE
"106","Missouri",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.08,-0.132821512625853,-0.0271784873741474,-0.187,0.107,TRUE
"107","Kentucky",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.19,-0.243064149120438,-0.136935850879562,-0.298,0.108,TRUE
"108","Kansas",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.13,-0.183671729889577,-0.0763282701104228,-0.206,0.0760000000000001,TRUE
"109","Minnesota",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.07,0.015606100149712,0.124393899850288,0.015,0.055,TRUE
"110","Florida",2016-11-05,2016-11-06,"Opinion Savvy/InsiderAdvantage","C-",0.02,-0.0474912431134135,0.0874912431134135,-0.012,0.032,FALSE
"111","Oklahoma",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.25,-0.303230550053604,-0.196769449946396,-0.364,0.114,TRUE
"112","New Mexico",2016-11-01,2016-11-03,"Research & Polling, Inc.","A",0.05,-0.0371945368087385,0.137194536808738,0.083,-0.033,TRUE
"113","Nevada",2016-11-01,2016-11-04,"Trafalgar Group","C",-0.046,-0.105032581865129,0.0130325818651295,0.024,-0.07,FALSE
"114","Texas",2016-10-31,2016-11-02,"Emerson College","B",-0.147,-0.220274910313712,-0.0737250896862884,-0.09,-0.0570000000000001,TRUE
"115","Pennsylvania",2016-10-27,2016-11-01,"Quinnipiac University","A-",0.05,-0.0291277528059628,0.129127752805963,-0.00700000000000001,0.057,FALSE
"116","Maryland",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.31,0.25656307034757,0.36343692965243,0.264,0.0459999999999999,TRUE
"117","Nevada",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.02,-0.0364036981427679,0.076403698142768,0.024,-0.00399999999999995,TRUE
"118","New Hampshire",2016-10-28,2016-11-02,"University of Massachusetts Lowell","B",0,-0.0743456715532019,0.0743456715532019,0.00299999999999995,-0.00299999999999995,FALSE
"119","Arizona",2016-10-28,2016-11-01,"The Times-Picayune/Lucid",NA,-0.01,-0.06874606656414,0.0487460665641399,-0.036,0.026,TRUE
"120","Ohio",2016-10-31,2016-11-03,"TargetSmart/William & Mary",NA,-0.03,-0.097434376629202,0.0374343766292021,-0.082,0.052,TRUE
"121","Colorado",2016-10-31,2016-11-03,"Trafalgar Group","C",0.00440000000000007,-0.0533956253049699,0.06219562530497,0.049,-0.0446,TRUE
"122","Indiana",2016-11-01,2016-11-03,"Public Opinion Strategies","B",-0.11,-0.189529629373416,-0.0304703706265842,-0.191,0.081,TRUE
"123","Alabama",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.19,-0.247218013873622,-0.132781986126378,-0.277,0.087,TRUE
"124","Ohio",2016-10-27,2016-11-01,"Quinnipiac University","A-",-0.05,-0.13065789725678,0.0306578972567795,-0.082,0.032,TRUE
"125","Pennsylvania",2016-10-31,2016-11-01,"Susquehanna Polling & Research, Inc.","B-",0.02,-0.0550909603789964,0.0950909603789964,-0.00700000000000001,0.027,FALSE
"126","Colorado",2016-10-28,2016-10-31,"Emerson College","B",0.03,-0.0415355530046004,0.1015355530046,0.049,-0.019,TRUE
"127","New Jersey",2016-10-27,2016-11-02,"Stockton College","B",0.11,0.0351848179936147,0.184815182006385,0.141,-0.0310000000000001,TRUE
"128","Nebraska",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.17,-0.231447128953727,-0.108552871046273,-0.256,0.086,TRUE
"129","Louisiana",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.14,-0.201928990179497,-0.0780710098205028,-0.197,0.0569999999999999,TRUE
"130","Colorado",2016-10-28,2016-11-01,"The Times-Picayune/Lucid",NA,0.07,0.00728833641612166,0.132711663583878,0.049,0.021,TRUE
"131","Arizona",2016-10-28,2016-10-31,"Emerson College","B",-0.04,-0.114020387988532,0.0340203879885324,-0.036,-0.00399999999999995,TRUE
"132","Arkansas",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.24,-0.302391331702703,-0.177608668297297,-0.269,0.0289999999999999,TRUE
"133","Alaska",2016-11-03,2016-11-06,"Gravis Marketing","B-",-0.03,-0.108869663607303,0.0488696636073032,-0.147,0.117,TRUE
"134","Nevada",2016-10-28,2016-11-01,"The Times-Picayune/Lucid",NA,0.07,0.00453652926608644,0.135463470733914,0.024,0.046,TRUE
"135","Arizona",2016-11-04,2016-11-06,"Data Orbital",NA,-0.03,-0.113535528726138,0.0535355287261382,-0.036,0.00600000000000006,TRUE
"136","New Hampshire",2016-10-29,2016-11-01,"MassINC Polling Group","A-",-0.01,-0.0976478713353845,0.0776478713353844,0.00299999999999995,-0.013,FALSE
"137","Utah",2016-10-30,2016-11-02,"Monmouth University","A+",-0.06,-0.157578002589734,0.0375780025897336,-0.18,0.12,TRUE
"138","Georgia",2016-10-28,2016-10-31,"Emerson College","B",-0.09,-0.166564131030001,-0.0134358689699986,-0.051,-0.039,TRUE
"139","North Carolina",2016-10-27,2016-11-01,"Trafalgar Group","C",-0.0497,-0.107424759751892,0.00802475975189211,-0.036,-0.0137,TRUE
"140","Pennsylvania",2016-10-30,2016-11-04,"Muhlenberg College","A",0.04,-0.057313449092477,0.137313449092477,-0.00700000000000001,0.047,FALSE
"141","South Carolina",2016-10-30,2016-10-31,"Starboard Communications",NA,-0.11,-0.189529629373416,-0.0304703706265842,-0.142,0.0319999999999999,TRUE
"142","Maine",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.08,0.010002077013744,0.149997922986256,0.03,0.05,TRUE
"143","New Hampshire",2016-10-31,2016-11-02,"Suffolk University","B+",-0.00400000000000006,-0.0916515528368208,0.0836515528368207,0.00299999999999995,-0.00700000000000001,FALSE
"144","Pennsylvania",2016-11-02,2016-11-03,"Harper Polling","B-",0,-0.0873037347686331,0.0873037347686331,-0.00700000000000001,0.00700000000000001,FALSE
"145","Michigan",2016-11-06,2016-11-06,"Mitchell Research & Communications","D",0.06,-0.00153034818457282,0.121530348184573,-0.002,0.062,FALSE
"146","New Mexico",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.02,-0.0516012008197691,0.0916012008197691,0.083,-0.0629999999999999,TRUE
"147","Michigan",2016-11-03,2016-11-03,"Strategic National",NA,0,-0.0818786700888701,0.0818786700888701,-0.002,0.002,FALSE
"148","Pennsylvania",2016-10-29,2016-11-01,"Monmouth University","A+",0.04,-0.0575546228182115,0.137554622818211,-0.00700000000000001,0.047,FALSE
"149","Utah",2016-10-29,2016-10-31,"Rasmussen Reports/Pulse Opinion Research","C+",-0.11,-0.181133463001729,-0.0388665369982713,-0.18,0.07,TRUE
"150","New Hampshire",2016-11-02,2016-11-06,"Rasmussen Reports/Pulse Opinion Research","C+",0.06,-0.0253857305904003,0.1453857305904,0.00299999999999995,0.0570000000000001,TRUE
"151","North Carolina",2016-11-02,2016-11-06,"Rasmussen Reports/Pulse Opinion Research","C+",0.06,-0.0253857305904003,0.1453857305904,-0.036,0.096,FALSE
"152","Pennsylvania",2016-11-02,2016-11-06,"Rasmussen Reports/Pulse Opinion Research","C+",-0.02,-0.105522731449607,0.0655227314496071,-0.00700000000000001,-0.013,TRUE
"153","Ohio",2016-11-02,2016-11-06,"Rasmussen Reports/Pulse Opinion Research","C+",0.01,-0.0755355640299853,0.0955355640299854,-0.082,0.092,FALSE
"154","Nevada",2016-11-02,2016-11-06,"Rasmussen Reports/Pulse Opinion Research","C+",0,-0.0855398411289719,0.0855398411289719,0.024,-0.024,FALSE
"155","Mississippi",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.08,-0.15286004535381,-0.0071399546461902,-0.178,0.0979999999999999,TRUE
"156","Florida",2016-11-02,2016-11-06,"Rasmussen Reports/Pulse Opinion Research","C+",0.02,-0.0655227314496071,0.105522731449607,-0.012,0.032,FALSE
"157","New Hampshire",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.09,0.0160092522457859,0.163990747754214,0.00299999999999995,0.087,TRUE
"158","Missouri",2016-10-28,2016-10-31,"Monmouth University","A+",-0.14,-0.236432234606132,-0.0435677653938677,-0.187,0.0469999999999999,TRUE
"159","Iowa",2016-11-01,2016-11-03,"Loras College","B-",0.00800000000000001,-0.0796494491406489,0.0956494491406489,-0.094,0.102,FALSE
"160","New Hampshire",2016-10-31,2016-11-02,"American Research Group","C+",-0.05,-0.129915113022531,0.0299151130225315,0.00299999999999995,-0.0529999999999999,FALSE
"161","Virginia",2016-10-29,2016-11-01,"Roanoke College","C+",0.07,-0.00645265641889554,0.146452656418896,0.054,0.016,TRUE
"162","Colorado",2016-10-29,2016-10-31,"University of Denver",NA,0,-0.0835731451070272,0.0835731451070272,0.049,-0.049,FALSE
"163","Idaho",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.18,-0.257932805342393,-0.102067194657607,-0.318,0.138,TRUE
"164","Wisconsin",2016-10-31,2016-11-01,"Loras College","B-",0.06,-0.0274943377475323,0.147494337747532,-0.00700000000000001,0.067,FALSE
"165","Utah",2016-11-01,2016-11-03,"Y2 Analytics","C+",-0.09,-0.177296540644478,-0.00270345935552201,-0.18,0.09,TRUE
"166","Missouri",2016-10-27,2016-11-01,"DFM Research","B-",-0.09,-0.176606438589805,-0.00339356141019508,-0.187,0.097,TRUE
"167","Washington",2016-11-04,2016-11-06,"Insights West",NA,0.15,0.0533518717738251,0.246648128226175,0.162,-0.0119999999999999,TRUE
"168","California",2016-11-04,2016-11-06,"Insights West",NA,0.23,0.134748061472664,0.325251938527336,0.301,-0.071,TRUE
"169","Georgia",2016-11-02,2016-11-03,"Opinion Savvy/InsiderAdvantage","C-",-0.038,-0.122439016446387,0.0464390164463867,-0.051,0.0130000000000001,TRUE
"170","Arizona",2016-11-04,2016-11-06,"Insights West",NA,-0.02,-0.11897332970437,0.0789733297043705,-0.036,0.0160000000000001,TRUE
"171","Colorado",2016-11-01,2016-11-02,"Magellan Strategies","C",0.065,-0.0224668926757626,0.152466892675763,0.049,0.016,TRUE
"172","Nevada",2016-10-28,2016-11-01,"JMC Enterprises","C",0,-0.0800151946059218,0.0800151946059218,0.024,-0.024,FALSE
"173","New Mexico",2016-10-28,2016-11-01,"The Times-Picayune/Lucid",NA,0.08,-0.0020469333170971,0.162046933317097,0.083,-0.00299999999999995,TRUE
"174","Nevada",2016-11-04,2016-11-06,"Insights West",NA,0,-0.101483088313557,0.101483088313557,0.024,-0.024,FALSE
"175","Massachusetts",2016-10-23,2016-11-02,"Western New England University","A-",0.3,0.208441059242203,0.391558940757797,0.272,0.028,TRUE
"176","West Virginia",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.27,-0.356864111592567,-0.183135888407433,-0.421,0.151,TRUE
"177","South Dakota",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.21,-0.2994433339764,-0.1205566660236,-0.298,0.088,TRUE
"178","Vermont",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.36,0.274181759566861,0.445818240433139,0.264,0.0959999999999999,TRUE
"179","Montana",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.22,-0.310230245125184,-0.129769754874816,-0.206,-0.0140000000000001,TRUE
"180","Hawaii",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.24,0.147814857747223,0.332185142252777,0.322,-0.082,TRUE
"181","Rhode Island",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.12,0.0244843819788273,0.215515618021173,0.155,-0.035,TRUE
"182","Alaska",2016-11-01,2016-11-07,"SurveyMonkey","C-",-0.17,-0.265503307854694,-0.0744966921453062,-0.147,-0.023,TRUE
"183","Florida",2016-10-27,2016-11-01,"Quinnipiac University","A-",0.01,-0.0683319988027944,0.0883319988027944,-0.012,0.022,FALSE
"184","North Carolina",2016-10-27,2016-11-01,"Quinnipiac University","A-",0.03,-0.0498462133539799,0.10984621335398,-0.036,0.0659999999999999,FALSE
"185","Delaware",2016-11-01,2016-11-07,"SurveyMonkey","C-",0.11,0.0083115677909588,0.211688432209041,0.115,-0.00500000000000006,TRUE
"186","Indiana",2016-10-30,2016-11-01,"Gravis Marketing","B-",-0.1,-0.197629089820431,-0.00237091017956853,-0.191,0.091,TRUE
"187","Florida",2016-10-31,2016-11-06,"Ipsos","A-",0.00889999999999996,-0.0568694798562686,0.0746694798562685,-0.012,0.0209,FALSE
"188","California",2016-11-01,2016-11-07,"Google Consumer Surveys","B",0.2148,0.167182131660319,0.262417868339681,0.301,-0.0862,TRUE
